,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
1256,3IV4swNduIRunHREK80owz,0.603,0.933,1,-3.358,1,0.171,0.00591,0.0,0.206,0.709,96.306,4
1257,4BggEwLhGfrbrl7JBhC8EC,0.736,0.811,9,-4.17,0,0.081,0.00132,0.000142,0.107,0.609,103.502,4
1258,7L2MSJJDa0AX60IFJeocoV,0.408,0.938,5,-2.326,0,0.0781,3.01e-05,0.00737,0.287,0.278,97.438,4
1259,1W3dlh84EvBtR7er0OS3Vi,0.379,0.881,6,-1.768,0,0.067,0.00023,8.97e-05,0.165,0.261,170.002,4
1260,4duJPlPm8zxnMMUF9rxZsG,0.196,0.967,1,-2.139,0,0.129,1.09e-05,0.00981,0.0809,0.217,204.732,4
1261,7shL9VG0VYrN2kcZ9ZULlW,0.511,0.988,10,-0.74,0,0.184,0.00324,0.00114,0.328,0.402,158.068,4
1262,0MWaB1vzvP7zK7A2XeLp8b,0.46,0.969,1,-3.287,1,0.157,3.44e-05,0.654,0.634,0.385,142.057,4
1263,6D5HtLGzzS9IIY5Oyf9JwY,0.377,0.982,7,-2.865,1,0.278,0.00071,0.172,0.36,0.227,179.963,4
1264,7CAbF0By0Fpnbiu6Xn5ZF7,0.434,0.929,1,-2.749,1,0.147,0.000207,0.00109,0.0916,0.428,92.541,4
1265,110F4jyTTmjQORpKWn1j06,0.5,0.967,7,-3.386,1,0.0645,9.02e-06,0.0215,0.372,0.316,121.995,4
1266,3ns1Hn52RB28zGVHiFvz7W,0.576,0.785,10,-4.873,1,0.0355,0.000389,0.0109,0.103,0.406,105.118,4
1267,51TG9W3y9qyO8BY5RXKgnZ,0.61,0.891,4,-5.452,0,0.0587,0.000805,0.0928,0.0657,0.51,139.903,4
1268,3HhaSocKwTptze7PySNZlW,0.409,0.992,3,-2.803,0,0.108,4.82e-05,2.03e-06,0.1,0.344,149.859,4
1269,24CeaRaJHiMKFAVZTCu8Y0,0.376,0.988,5,-2.375,1,0.216,8.82e-05,6.36e-05,0.346,0.507,192.153,4
1270,60fUDmIWuKhngaeBIVhqIV,0.513,0.88,7,-4.69,0,0.0309,9.59e-05,0.00614,0.0824,0.495,92.358,4
1271,7DyCmfT0WNViykLTHGT3yO,0.473,0.996,11,-3.027,0,0.173,1.41e-05,0.0,0.26,0.0952,76.006,4
1272,2lN6G35gsXkA3xzPYqmis5,0.438,0.989,10,-2.354,0,0.0959,4.94e-06,0.00198,0.941,0.332,174.012,4
1273,2SgbR6ttzoNlCRGQOKjrop,0.415,0.908,2,-9.701,1,0.0765,0.00437,0.0345,0.082,0.437,114.816,4
1274,5u3l2TONYacJgmRPQVaF9y,0.374,0.92,6,-4.653,1,0.0501,1.62e-05,0.026,0.0802,0.278,191.014,4
1275,01Mpj13vURSO3cCLprPt5T,0.294,0.995,1,-4.383,0,0.168,0.000489,0.331,0.128,0.0379,88.777,4
1276,0XT70Wk9pP8JZkmJhfntuL,0.558,0.943,1,-4.81,0,0.0535,0.00191,4.38e-05,0.248,0.56,111.994,4
1277,0INUE1K7cEiE8VH63Rv5RJ,0.546,0.97,5,-2.661,0,0.097,0.000823,2.08e-05,0.275,0.383,100.065,4
1278,6RJdYpFQwLyNfDc5FbjkgV,0.402,0.969,8,-2.825,1,0.181,9.14e-05,0.0325,0.225,0.262,173.847,4
1279,4RUmLxHGEoeyG3TU78OCLG,0.306,0.995,2,-3.203,1,0.1,2.98e-05,0.00859,0.254,0.135,127.908,4
1280,2T2vudIHfVMA5ychWTU3KA,0.461,0.961,8,-3.011,1,0.0479,6.39e-06,0.14,0.308,0.416,96.009,4
1281,7lYrz70DntWR7o8Sqfz0Ok,0.368,0.981,2,-4.084,0,0.12,2.02e-05,0.00549,0.129,0.277,165.018,4
1282,3sHH7lklbfpcraDDvYnjo7,0.541,0.968,0,-4.129,1,0.0396,0.000248,8.28e-06,0.423,0.505,125.04,4
1283,1yc53HK08sDab7PDFgnLWk,0.366,0.956,10,-3.725,0,0.108,0.000293,0.00447,0.449,0.159,104.016,3
1284,1zCEQgOjjQRzGieDb3OVKh,0.759,0.593,11,-7.346,0,0.0716,0.0187,0.778,0.11,0.284,140.035,4
1285,2qk76H18li0kh0hPJTZmMk,0.251,0.966,10,-1.803,0,0.236,0.000355,0.00326,0.577,0.278,195.038,4
1286,0S0SwkWN4amRY9bxLMZkX5,0.742,0.852,5,-3.871,0,0.0501,0.0165,0.0869,0.147,0.61,138.002,4
1287,0O26gtfjuscAOnQobjNPPL,0.388,0.83,3,-3.035,0,0.0922,2.68e-05,0.0212,0.0946,0.144,129.98,4
1288,3EPgili2JS1ZR9LVMj05Rq,0.242,0.986,1,-3.224,1,0.185,5.97e-05,0.00027,0.335,0.122,109.91,4
1289,0iZbC7hLkOdBhewWb4nqff,0.364,0.843,7,-5.796,0,0.107,0.00126,0.00179,0.0989,0.396,138.128,1
1290,1i6ygbjfXbKHlQVbL1DPT8,0.318,0.958,10,-2.683,1,0.442,0.0603,4.68e-06,0.0981,0.3,163.089,4
1291,0UrWr7Jnu1heq1o99ZwUd0,0.563,0.86,8,-7.533,1,0.0621,0.00834,0.0106,0.39,0.517,97.867,4
1292,4FEr6dIdH6EqLKR0jB560J,0.285,0.613,5,-6.412,1,0.0421,0.0185,0.1,0.114,0.0772,126.628,4
1293,5QYwIidpvmcqBWYx6hy8AT,0.529,0.887,6,-3.49,1,0.0271,0.0061,0.0677,0.0938,0.297,98.779,4
1294,1158ckiB5S4cpsdYHDB9IF,0.443,0.781,1,-4.277,1,0.0377,1.33e-05,0.205,0.166,0.372,71.841,4
1295,2PtRV9xsUKIy24Gffsbtpy,0.493,0.905,3,-4.992,0,0.038,8.26e-05,1.35e-06,0.0759,0.273,105.979,4
1296,0M3keKfmYR90ThAguDsGPC,0.452,0.873,2,-8.308,0,0.0723,0.00095,0.362,0.0672,0.226,107.426,4
1297,4N1dGXLrCfDCahsfMiD2HY,0.499,0.982,11,-5.098,0,0.114,1.5e-05,0.000243,0.273,0.0568,105.062,4
1298,7Fo3AzYlGoQgV8FiwCB9FM,0.259,0.964,2,-5.683,1,0.12,5.05e-05,0.000384,0.455,0.0996,124.994,4
1299,2hHArjmtQ0FSGgtqLCKxVY,0.362,0.987,10,-6.539,0,0.382,8.56e-05,0.00477,0.358,0.0611,170.06,4
1300,2qteWVf7459okiPxGwgyez,0.58,0.981,8,-3.529,1,0.048,3.01e-05,0.00353,0.373,0.39,105.011,4
1301,5ZvbwDbhiFMbaywLJo6SmN,0.352,0.967,0,-4.326,1,0.0843,0.000304,0.0811,0.356,0.271,177.407,3
1302,5tzd2B3sylv4qyPUPPhs66,0.533,0.979,0,-4.119,1,0.11,0.000257,0.000142,0.117,0.253,99.914,4
1303,6SpD640uyLqlWNKiUYW7Bg,0.553,0.937,2,-3.939,1,0.0664,2.6e-05,1.39e-05,0.371,0.472,125.021,4
1304,6rSkmu5VvY6iHbt4KNivgM,0.507,0.963,7,-3.762,1,0.0625,4.62e-05,0.00112,0.103,0.353,92.017,4
1305,0ffLIc91fF0lK1E71rRRHp,0.534,0.932,0,-4.193,1,0.0714,3.38e-05,0.0112,0.394,0.194,123.052,4
1306,0tKYD0XoPIxyCM5kSmnZZP,0.352,0.967,0,-4.326,1,0.0843,0.000304,0.0811,0.356,0.271,177.407,3
1307,0sxpzMkHZgv7WFnFCS3Fx1,0.426,0.983,8,-2.702,1,0.0744,6.3e-06,0.00161,0.188,0.621,164.984,4
1308,08Na6Tu10Z1y9p1GIXxMmo,0.411,0.973,5,-3.541,0,0.0581,6.07e-06,0.0111,0.493,0.502,180.072,4
1309,1Zq2GSPNRYwkFcEm1Q4zzo,0.258,0.987,6,-3.858,1,0.214,4.36e-05,0.302,0.372,0.395,169.995,4
1310,0BIh9ORbscHqPgS7rJdMmB,0.521,0.976,5,-4.088,0,0.0596,1.36e-05,0.215,0.268,0.103,123.009,4
1311,72Ydsf2tvSytAy3Ylagps1,0.493,0.968,2,-4.041,1,0.0986,7.22e-06,0.0261,0.177,0.0741,119.984,4
1312,3Fbf5yoWh41WyzanJ8baqj,0.407,0.95,7,-6.998,1,0.193,0.000103,0.191,0.516,0.246,191.741,4
1313,5k8ENOuW32KkzDnXNK6DQ3,0.529,0.944,8,-7.203,1,0.0881,8.05e-05,0.0389,0.104,0.133,115.002,4
1314,4d8iN5Re3A6UOYVxZAbJ7v,0.407,0.95,7,-6.998,1,0.193,0.000103,0.191,0.516,0.246,191.741,4
1315,5CPXR6lDTvngxtmMZxnWmC,0.532,0.941,9,-9.025,1,0.0465,0.000579,0.0527,0.15,0.278,102.198,4
1316,39A4PBtQVULJomU9ojgfzH,0.49,0.96,7,-6.882,1,0.0493,0.000523,0.03,0.0817,0.408,90.011,4
1317,7xPGvZaG9W7UOrCgEwbONe,0.396,0.415,8,-7.56,0,0.0283,0.846,4.38e-05,0.141,0.38,81.778,3
1318,1sRWy3OIe6rfRrub5ht0PG,0.432,0.953,2,-2.949,0,0.0886,0.000137,9.81e-06,0.18,0.505,98.082,4
1319,2R5wPUhwFlPEAtST4MDFtm,0.533,0.929,5,-5.022,1,0.0688,0.000449,3.11e-05,0.0739,0.647,95.067,4
1320,2flBG7O4o11UItJ5avtoon,0.58,0.981,8,-3.529,1,0.048,3.01e-05,0.00353,0.373,0.39,105.011,4
1321,35qULvfVsRGHE2u4OkNzI0,0.594,0.933,4,-6.072,0,0.198,0.00017,0.359,0.264,0.159,108.041,4
1322,4BxodHPOTZSqOAVe6dLtrD,0.371,0.974,10,-3.865,0,0.147,5.1e-06,1.03e-05,0.168,0.325,179.941,4
1323,5URJEznfi3XiVHQCyC3sII,0.367,0.983,8,-4.264,1,0.0649,9.49e-06,0.00049,0.184,0.85,175.006,4
1324,1OlQhV4yadLEZ17ajcDTa7,0.509,0.977,10,-7.156,0,0.12,9.6e-06,0.00988,0.357,0.111,105.013,4
1325,3cu9Iokdm8VcfEyuNxWtKY,0.365,0.974,6,-7.132,1,0.121,1.09e-05,0.419,0.347,0.37,200.072,4
1326,05qqZnBuYdbyDnXf2IPpYc,0.49,0.988,10,-5.139,0,0.134,1.24e-05,0.0182,0.39,0.112,104.97,4
1327,46xS94u17W3xtsJpTsA9bk,0.473,0.943,11,-7.826,1,0.107,6.35e-06,0.0308,0.342,0.232,155.043,4
1328,5e3ysGRhZepybvYO9TA9t0,0.61,0.918,6,-7.964,1,0.0646,1.17e-05,0.569,0.292,0.308,119.989,4
1329,7wTeK0abCL1nvTVbJZYDQi,0.553,0.953,8,-7.23,1,0.115,1.24e-05,0.013,0.3,0.131,120.007,4
1330,1znn4kDt2OpapBH33Rdxnr,0.484,0.957,5,-5.225,0,0.0568,1.26e-05,0.132,0.355,0.212,105.056,4
1331,74t0X4hBcCcB2n06luLQ3w,0.354,0.985,3,-5.169,0,0.15,1.21e-05,0.456,0.375,0.298,200.115,4
1332,5sHjJuEAFLip5qGZIsPEZS,0.573,0.965,11,-5.141,0,0.0771,1.23e-05,0.00365,0.365,0.23,120.06,4
1333,5cnIQBlGTtB9NCvxxwN9gf,0.393,0.957,7,-7.397,1,0.0545,0.000189,0.481,0.212,0.027,105.008,4
1334,3b7syXuHMIh3qMTaTtWSSg,0.501,0.965,1,-5.258,0,0.107,1.92e-05,0.00194,0.245,0.213,105.041,4
1335,5vGb0JNkxxTs74zj9ieorG,0.5,0.789,5,-4.447,0,0.0483,0.000945,0.000342,0.114,0.214,124.986,4
1336,1dICHz4dWKXZGIsv4RDPBm,0.439,0.964,1,-6.675,1,0.253,4.04e-05,7.83e-05,0.164,0.296,139.999,4
1337,0nPkr4IsPYrqS1iPtKZGJ7,0.331,0.681,0,-6.389,0,0.034,0.606,0.0,0.121,0.223,164.841,4
1338,3JnCxyfTfO2vW952woy1v8,0.376,0.962,6,-4.807,1,0.177,0.000104,0.00031,0.362,0.479,200.028,4
1339,0bf3ZBxFjykfFzHziyWuPK,0.608,0.939,6,-5.941,1,0.0749,1.52e-05,0.455,0.192,0.319,120.003,4
1340,2KLLO8a5n7wNlVVPkvGYeo,0.465,0.964,11,-5.848,1,0.134,5.48e-06,0.0182,0.343,0.193,155.041,4
1341,7a4QCBfvwQgQyK4YRGYAzE,0.545,0.92,8,-8.303,1,0.0676,1.88e-05,0.103,0.0785,0.253,144.957,4
1342,7xpMAw24R36H1eQrePAPNA,0.461,0.98,10,-7.587,0,0.102,4.14e-05,0.0781,0.0627,0.35,104.996,4
1343,1A63vkVXOStT7FbSvq2RCm,0.52,0.976,6,-6.692,0,0.113,3.68e-05,0.000387,0.081,0.142,140.04,4
1344,2IctJa3vXCkgwzYN14jMFQ,0.518,0.94,2,-4.511,0,0.146,0.0068,0.0,0.228,0.506,93.035,4
1345,0G30Lbhso1PTkbzn2a8qUy,0.504,0.915,0,-3.456,0,0.0537,0.00858,0.0,0.107,0.592,125.056,4
1346,7DWCpvBjo0TfD2xV95fQHR,0.474,0.987,0,-1.87,1,0.183,0.0012,0.0,0.566,0.415,76.525,4
1347,4onYrpeRu0eJjcnZ5GfXz0,0.487,0.954,2,-5.529,1,0.0792,5.15e-05,0.000625,0.163,0.115,105.03,4
1348,3Gvjfl8E6t95BJpsBqRn2n,0.556,0.973,7,-2.849,1,0.101,0.000139,0.0,0.144,0.629,118.033,4
1349,4sBOU30e7J2KF2VzBwDG2M,0.49,0.615,4,-7.878,0,0.0286,0.386,0.0,0.0814,0.11,109.985,4
